"";"Supergroup";"Phylum";"Class";"Order";"Family";"Genus";"Species";"AD_DNF";"AD_EFF";"AD_INF";"AD_NFC";"AH_DNF";"AH_EFF";"AH_INF";"AH_NFC";"BE_EFF";"BE_INF";"BE_NFC";"EM_DNF";"EM_EFF";"EM_INF";"EM_NFC";"FD_DNF";"FD_EFF";"FD_INF";"FD_NFC";"FR_DNF";"FR_EFF";"FR_INF";"FR_NFC";"MN_DNF";"MN_EFF";"MN_INF";"MN_NFC";"TE_DNF";"TE_EFF";"TE_INF";"TE_NFC";"TG_DNF";"TG_EFF";"TG_INF";"TG_NFC";"TU_DNF";"TU_EFF";"TU_INF";"TU_NFC";"WT_DNF";"WT_EFF";"WT_INF";"WT_NFC";"ZR_DNF";"ZR_EFF";"ZR_INF";"ZR_NFC"
"1";"Alveolata";"Apicomplexa";"Apicomplexa_X";"Coccidia";"Eucoccidiorida";"Cryptosporidium";"Cryptosporidium_parvum";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0
"2";"Alveolata";"Apicomplexa";"Apicomplexa_X";"Coccidia";"Eucoccidiorida";"Cryptosporidium";"Cryptosporidium_struthionis";0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"3";"Alveolata";"Apicomplexa";"Apicomplexa_X";"Colpodellidae";"Colpodellidae_X";"Colpodella";"Colpodella_sp";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";"Alveolata";"Apicomplexa";"Apicomplexa_X";"Colpodellidae";"Colpodellidae_X";"Colpodella";"Colpodella_tetrahymenae";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5";"Alveolata";"Apicomplexa";"Apicomplexa_X";"Colpodellidae";"Colpodellidae_X";"Colpodellidae_XX";"Colpodellidae_XX_sp";0;0;0;0;2;0;8;0;0;6;0;0;0;2;0;0;0;4;0;2;2;6;0;0;0;4;0;0;0;6;0;0;0;0;0;0;2;9;0;0;1;4;0;1;0;2;0
"6";"Alveolata";"Apicomplexa";"Apicomplexa_X";"Gregarines";"Gregarines_X";"Gregarines_XX";"Gregarines_XX_sp";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"7";"Alveolata";"Apicomplexa";"Apicomplexa_X";"Gregarines";"Gregarines_X";"Monocystis";"Monocystis_agilis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8";"Alveolata";"Apicomplexa";"Apicomplexa_X";"Gregarines";"Gregarines_X";"Stylocephalus";"Stylocephalus_giganteus";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"9";"Alveolata";"Apicomplexa";"Apicomplexa_X";"Haemosporida";"Plasmodium-group";"Plasmodium";"Plasmodium_ovale";0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;14;4;0;0;0;0;0;13;0;0;0;0;0;0;19;14;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
"10";"Alveolata";"Ciliophora";"Armophorea";"Armophorea_X";"Armophorea_XX";"Heterometopus";"Heterometopus_sp";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"Alveolata";"Ciliophora";"Armophorea";"Armophorea_X";"Caenomorphidae";"Caenomorpha";"Caenomorpha_sp";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
