;Sampling_date;TN_mg_per_L;TP_mg_per_L;DOC_mg_per_L;DO_mg_per_L;Temperature_C;pH;HRT_hours;Location;Sample_Place
AD_INF;20160420;19.78;3.88;62.8;1.62;14.6;7.78;3;AD;INF
AD_DNF;20160420;12.03;0.5;7.6;0.01;13.1;6.47;6;AD;DNF
AD_NFC;20160420;13.06;0.43;6.4;2.65;12.7;6.09;12;AD;NFC
AD_EFF;20160420;10.83;0.43;6.5;8.85;12.7;5.92;18.5;AD;EFF
AH_INF;20160429;14.67;3.88;27.1;2.54;13.7;6.8;4.2;AH;INF
AH_DNF;20160429;17.44;0.53;11.2;0.03;13.3;7.13;5.5;AH;DNF
AH_NFC;20160429;21.88;0.45;6.7;1.7;13.3;6.74;17.3;AH;NFC
AH_EFF;20160429;27.91;0.38;8.4;6.76;13.6;6.55;19;AH;EFF
BE_INF;20160421;11.99;0.8;75.4;NA;NA;NA;NA;BE;INF
BE_NFC;20160421;16.8;0.37;11.3;NA;NA;NA;NA;BE;NFC
BE_EFF;20160421;17.86;0.34;9.1;NA;NA;NA;NA;BE;EFF
EM_INF;20160317;18.24;2.6;38.9;4.55;12.4;7.8;2.2;EM;INF
EM_DNF;20160317;13.88;0.74;19.8;0.03;14;6.73;3.4;EM;DNF
EM_NFC;20160317;16.18;0.62;11.7;2.2;14.4;6.52;5.6;EM;NFC
EM_EFF;20160317;11.41;0.48;11.9;5.14;14.4;6.38;8;EM;EFF
FD_INF;20160415;22.83;3.6;41;1.3;14.5;7.69;2.1;FD;INF
FD_DNF;20160415;13.13;1.47;9;0.02;14.6;6.56;4.9;FD;DNF
FD_NFC;20160415;11.75;0.86;6.8;2.08;14.6;6.44;8.4;FD;NFC
FD_EFF;20160415;7.22;0.68;6.8;2.31;14;6.59;9.5;FD;EFF
FR_INF;20160428;34.17;2.94;62.8;3.04;15.2;7.7;1;FR;INF
FR_DNF;20160428;29.53;0.78;9;0.02;15.3;7.42;1.3;FR;DNF
FR_NFC;20160428;30.68;0.7;7.7;2.04;14.9;7.16;12;FR;NFC
FR_EFF;20160428;27.53;0.42;5.9;4.8;14.7;7.08;4.8;FR;EFF
MN_INF;20160404;31.06;3.56;73.1;7.85;13.7;7.5;1.2;MN;INF
MN_DNF;20160404;20.23;0.86;18.5;0;15.5;6.72;5.5;MN;DNF
MN_NFC;20160404;21.22;0.48;14.6;1.78;15.8;6.57;12.4;MN;NFC
MN_EFF;20160404;18.26;0.5;13.8;5.07;15.6;6.72;13.4;MN;EFF
TE_INF;20160413;14.52;5.42;110.6;2.5;13.6;7.64;2.8;TE;INF
TE_DNF;20160413;15.9;1.46;17.4;0.02;13.4;6.82;3.8;TE;DNF
TE_NFC;20160413;13.75;0.64;20.6;1.9;14.1;6.62;7.7;TE;NFC
TE_EFF;20160413;13.51;0.64;19.9;2.83;14.4;7.19;8.7;TE;EFF
TG_INF;20160405;4.33;3.62;44.6;2.01;16.8;8.1;3;TG;INF
TG_DNF;20160405;9.79;0.42;22.3;0;16.9;6.75;3.9;TG;DNF
TG_NFC;20160405;10.36;0.34;19.1;3.31;16.7;7;1.9;TG;NFC
TG_EFF;20160405;9.43;0.36;15.2;3.7;16.7;7.4;9;TG;EFF
TU_INF;20160419;21.46;5.44;37.5;3.11;13.9;7.6;2.5;TU;INF
TU_DNF;20160419;8.24;2.84;12.7;0.01;12.7;6.84;2.3;TU;DNF
TU_NFC;20160419;5.95;0.36;5.5;1.05;12.2;6.84;3;TU;NFC
TU_EFF;20160419;7.23;0.35;6.3;6.5;13.7;6.52;14.7;TU;EFF
WT_INF;20160407;23.71;2.82;53;4;14.2;7.9;4.7;WT;INF
WT_DNF;20160407;10.53;0.89;16.4;0.04;14.4;5.75;2.5;WT;DNF
WT_NFC;20160407;22;0.72;15.2;1.25;14.5;6;7.3;WT;NFC
WT_EFF;20160407;19.46;0.73;14.2;2.8;14.1;6.5;7.3;WT;EFF
ZR_INF;20160412;21.31;2.88;34.5;2.97;16.7;8;3.1;ZR;INF
ZR_DNF;20160412;13.04;1.49;13.6;0;17.5;6.75;4;ZR;DNF
ZR_NFC;20160412;12.77;0.56;9.1;2.47;16.7;6.25;4;ZR;NFC
ZR_EFF;20160412;7.99;0.58;7.6;4.12;17;7;10;ZR;EFF
