"";"Supergroup";"Phylum";"Class";"Order";"Family";"Genus";"Species";"AD_DNF";"AD_EFF";"AD_INF";"AD_NFC";"AH_DNF";"AH_EFF";"AH_INF";"AH_NFC";"BE_EFF";"BE_INF";"BE_NFC";"EM_DNF";"EM_EFF";"EM_INF";"EM_NFC";"FD_DNF";"FD_EFF";"FD_INF";"FD_NFC";"FR_DNF";"FR_EFF";"FR_INF";"FR_NFC";"MN_DNF";"MN_EFF";"MN_INF";"MN_NFC";"TE_DNF";"TE_EFF";"TE_INF";"TE_NFC";"TG_DNF";"TG_EFF";"TG_INF";"TG_NFC";"TU_DNF";"TU_EFF";"TU_INF";"TU_NFC";"WT_DNF";"WT_EFF";"WT_INF";"WT_NFC";"ZR_DNF";"ZR_EFF";"ZR_NFC";"ZR~R1_INF";"ZR~R2_INF";"ZR~R3_INF"
"1";"Alveolata";"Alveolata_X";"Alveolata_XX";"Alveolata_XXX";"Alveolata_XXXX";"Alveolata_XXXXX";"Alveolata_XXXXX_sp";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
"2";"Alveolata";"Apicomplexa";"Apicomplexa_X";"Apicomplexa_XX";"Apicomplexa_XXX";"Nephromyces";"Nephromyces_sp";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"3";"Alveolata";"Apicomplexa";"Apicomplexa_X";"Coccidia";"Eucoccidiorida";"Cryptosporidium";"Cryptosporidium_parvum";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"4";"Alveolata";"Apicomplexa";"Apicomplexa_X";"Coccidia";"Eucoccidiorida";"Cryptosporidium";"Cryptosporidium_sp";0;0;0;0;1;1;0;3;0;0;0;0;0;0;0;3;3;0;4;0;0;0;0;0;0;0;0;2;10;0;2;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;0;1;1
"5";"Alveolata";"Apicomplexa";"Apicomplexa_X";"Coccidia";"Eucoccidiorida";"Cryptosporidium";"Cryptosporidium_struthionis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6";"Alveolata";"Apicomplexa";"Apicomplexa_X";"Coccidia";"Sarcocystidae";"Toxoplasma";"Toxoplasma_gondii";0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";"Alveolata";"Apicomplexa";"Apicomplexa_X";"Colpodellidae";"Colpodellidae_X";"Colpodella";"Colpodella_tetrahymenae";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8";"Alveolata";"Apicomplexa";"Apicomplexa_X";"Colpodellidae";"Colpodellidae_X";"Colpodellidae_XX";"Colpodellidae_XX_sp";0;2;0;0;1;0;1;4;0;2;0;0;0;0;0;14;7;0;9;0;0;2;0;0;0;1;0;15;27;2;7;0;2;3;0;16;1;0;17;0;2;0;0;0;0;0;0;4;4
"9";"Alveolata";"Apicomplexa";"Apicomplexa_X";"Gregarines";"Gregarines_X";"Apicystis";"Apicystis_bombi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"10";"Alveolata";"Ciliophora";"Armophorea";"Armophorea_X";"Apometopidae";"Urostomides";"Urostomides_striatus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"Alveolata";"Ciliophora";"Armophorea";"Armophorea_X";"Armophorea_XX";"Armophorea_XXX";"Armophorea_XXX_sp";0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"12";"Alveolata";"Ciliophora";"Armophorea";"Armophorea_X";"Armophorea_XX";"Heterometopus";"Heterometopus_sp";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"13";"Alveolata";"Ciliophora";"Armophorea";"Armophorea_X";"Armophorea_XX";"Metopus_2";"Metopus_setosus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14";"Alveolata";"Ciliophora";"Armophorea";"Armophorea_X";"Caenomorphidae";"Caenomorpha";"Caenomorpha_sp";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"15";"Alveolata";"Ciliophora";"Armophorea";"Armophorea_X";"Clevelandellida";"Clevelandella";"Clevelandella_panesthiae";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16";"Alveolata";"Ciliophora";"Armophorea";"Armophorea_X";"Clevelandellida";"Clevelandellida_X";"Clevelandellida_X_sp";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17";"Alveolata";"Ciliophora";"Armophorea";"Armophorea_X";"Metopidae";"Brachonella";"Brachonella_sp";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18";"Alveolata";"Ciliophora";"Armophorea";"Armophorea_X";"Metopidae";"Metopus_1";"Metopus_contortus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19";"Alveolata";"Ciliophora";"Armophorea";"Armophorea_X";"Metopidae";"Metopus_1";"Metopus_es";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20";"Alveolata";"Ciliophora";"Armophorea";"Armophorea_X";"Metopidae";"Metopus_1";"Metopus_sp";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"21";"Alveolata";"Ciliophora";"Cariacotrichea";"Cariacotrichea_X";"Cariacotrichea_XX";"Cariacotrichea_XXX";"Cariacotrichea_XXX_sp";18;0;0;1;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
