"";"Domain";"Phylum";"Class";"Order";"Family";"Genus";"Species";"AD_DNF";"AD_EFF";"AD_INF";"AD_NFC";"AH_DNF";"AH_EFF";"AH_INF";"AH_NFC";"BE_EFF";"BE_INF";"BE_NFC";"EM_DNF";"EM_EFF";"EM_INF";"EM_NFC";"FD_DNF";"FD_EFF";"FD_INF";"FD_NFC";"FR_DNF";"FR_EFF";"FR_INF";"FR_NFC";"MN_DNF";"MN_EFF";"MN_INF";"MN_NFC";"TE_DNF";"TE_EFF";"TE_INF";"TE_NFC";"TG_DNF";"TG_EFF";"TG_INF";"TG_NFC";"TU_DNF";"TU_EFF";"TU_INF";"TU_NFC";"WT_DNF";"WT_EFF";"WT_INF";"WT_NFC";"ZR_DNF";"ZR_EFF";"ZR_NFC";"ZR~R1_INF";"ZR~R2_INF";"ZR~R3_INF"
"1";"Archaea";"Euryarchaeota";"Halobacteria";"Halobacteriales";"Halobacteriaceae";"Halalkalicoccus";"Halalkalicoccus|jeotgali|B3";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2";"Archaea";"Euryarchaeota";"Halobacteria";"Halobacteriales";"Halobacteriaceae";"Halalkalicoccus";"Halalkalicoccus|paucihalophilus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"3";"Archaea";"Euryarchaeota";"Halobacteria";"Halobacteriales";"Halobacteriaceae";"Halalkalicoccus";"Halalkalicoccus|tibetensis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";"Archaea";"Euryarchaeota";"Halobacteria";"Halobacteriales";"Halobacteriaceae";"Halapricum";"uncultured|haloarchaeon";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5";"Archaea";"Euryarchaeota";"Halobacteria";"Halobacteriales";"Halobacteriaceae";"Halococcus";"Halococcus|sediminicola";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6";"Archaea";"Euryarchaeota";"Halobacteria";"Halobacteriales";"Halobacteriaceae";"uncultured";"uncultured|archaeon";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";"Archaea";"Euryarchaeota";"Halobacteria";"Halobacteriales";"Halobacteriaceae";"uncultured";"uncultured|haloarchaeon";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobacterium";"Methanobacterium|alcaliphilum";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"9";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobacterium";"Methanobacterium|congolense";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"10";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobacterium";"Methanobacterium|curvum";0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
"11";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobacterium";"Methanobacterium|formicicum";9;4;14;18;0;2;43;3;1;0;0;2;1;0;0;0;2;0;0;0;2;0;0;6;0;0;1;1;1;9;2;0;0;0;0;0;4;0;0;0;1;0;0;0;0;8;0;0;0
"12";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobacterium";"Methanobacterium|kanagiense";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;13;2;0;0
"13";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobacterium";"Methanobacterium|lacus";0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0
"14";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobacterium";"Methanobacterium|oryzae";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"15";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobacterium";"Methanobacterium|paludis";0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
"16";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobacterium";"Methanobacterium|palustre";0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"17";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobacterium";"Methanobacterium|petrolearium";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;5;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobacterium";"Methanobacterium|sp";0;3;0;1;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1
"19";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobacterium";"Methanobacterium|sp.|AH1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0
"20";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobacterium";"Methanobacterium|sp.|E09F.3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2
"21";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobacterium";"Methanobacterium|sp.|enrichment|culture|clone|A1ER16";2;0;1;1;0;0;0;1;0;0;0;2;0;0;1;2;1;0;0;0;5;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;1;0;0;0;0;1;1;5;1;0
"22";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobacterium";"Methanobacterium|sp.|MB1";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
"23";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobacterium";"Methanobacterium|sp.|MC-20";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"24";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobacterium";"Methanobacterium|sp.|SMA-27";0;0;2;1;0;0;2;0;0;0;0;2;0;0;1;0;0;2;0;0;4;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;2;0;0;2;2;0;0;0;1;5;2;0;0
"25";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobacterium";"Methanobacterium|subterraneum";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"26";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobacterium";"uncultured|archaeon";27;5;20;17;0;2;15;10;0;2;0;2;0;5;9;6;2;5;3;1;6;0;0;129;1;15;62;15;39;87;26;10;2;0;5;0;6;0;0;1;8;1;0;11;2;40;1;4;1
"27";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobacterium";"uncultured|bacterium";12;1;4;10;0;1;18;3;0;0;0;2;0;2;0;0;0;1;0;2;2;0;0;7;1;1;4;0;3;7;2;0;0;0;0;0;8;0;0;1;0;0;0;3;0;6;0;0;1
"28";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobacterium";"uncultured|euryarchaeote";3;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0
"29";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobacterium";"uncultured|Methanobacteriaceae|archaeon";0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"30";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobacterium";"uncultured|Methanobacteriales|archaeon";10;7;15;25;10;0;18;18;0;1;0;3;0;2;1;3;1;0;6;0;0;0;0;7;0;1;6;6;7;12;6;8;0;0;1;0;4;0;0;0;1;0;0;1;0;14;0;1;0
"31";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobacterium";"uncultured|Methanobacterium|sp";7;4;6;11;0;0;12;7;0;2;0;0;0;1;1;4;0;0;0;0;0;0;0;2;0;4;0;0;3;1;0;2;0;2;0;0;5;2;0;0;1;1;0;1;0;26;9;0;2
"32";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobrevibacter";"archaeon|enrichment|culture|clone|G13";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"33";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobrevibacter";"archaeon|enrichment|culture|clone|G14";4;2;5;3;1;0;1;0;0;5;0;4;0;2;1;3;0;7;0;0;4;4;0;0;0;3;2;1;0;2;0;0;0;4;0;0;3;1;2;0;1;0;0;0;0;17;6;11;6
"34";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobrevibacter";"archaeon|enrichment|culture|clone|G17";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"35";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobrevibacter";"archaeon|enrichment|culture|clone|G18";7;2;4;6;2;2;2;1;4;3;0;3;0;2;12;2;4;6;1;0;6;2;0;4;0;3;6;0;0;6;0;0;0;6;0;1;7;1;1;0;1;3;0;0;0;40;8;9;15
"36";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobrevibacter";"archaeon|enrichment|culture|clone|G23";5;2;8;8;0;1;1;4;2;2;2;7;0;1;5;3;3;9;1;0;0;2;0;4;0;2;1;0;0;7;0;0;0;16;0;0;3;2;1;1;0;0;0;0;0;25;8;6;10
"37";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobrevibacter";"archaeon|enrichment|culture|clone|G24";1;1;0;0;0;0;0;1;1;0;0;4;0;0;0;0;2;3;0;0;0;2;0;2;0;0;1;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;5;1;2;1
