Supergroup_Domain;Phylum;Class;Order;Family;Genus;Traits
Alveolata;Apicomplexa;Apicomplexa_X;Coccidia;Eucoccidiorida;Cryptosporidium;parasite
Alveolata;Apicomplexa;Apicomplexa_X;Coccidia;Sarcocystidae;Toxoplasma;free-living
Alveolata;Apicomplexa;Apicomplexa_X;Colpodellidae;Colpodellidae_X;Colpodellidae_XX;free-living
Alveolata;Apicomplexa;Apicomplexa_X;Gregarines;Gregarines_X;Gregarines_XX;parasite
Alveolata;Apicomplexa;Apicomplexa_X;Gregarines;Gregarines_X;Monocystis;parasite
Alveolata;Apicomplexa;Apicomplexa_X;Haemosporida;Haemosporida_X;Plasmodium;free-living
Alveolata;Ciliophora;Armophorea;Armophorea_X;Caenomorphidae;Caenomorpha;free-living
Alveolata;Ciliophora;Armophorea;Armophorea_X;Clevelandellida;Clevelandella;free-living
Alveolata;Ciliophora;Armophorea;Armophorea_X;Metopidae;Metopus;free-living
Alveolata;Ciliophora;Cariacotrichea;Cariacotrichea_X;Cariacotrichea_XX;Cariacotrichea_XXX;free-living
Alveolata;Ciliophora;Ciliophora_X;Ciliophora_XX;Ciliophora_XXX;Askenasia;free-living
Alveolata;Ciliophora;Ciliophora_X;Ciliophora_XX;Ciliophora_XXX;Ciliophora_XXXX;free-living
Alveolata;Ciliophora;Ciliophora_X;Ciliophora_XX;Cryptocaryonidae;Cryptocaryon;free-living
Alveolata;Ciliophora;Ciliophora_X;Ciliophora_XX;Plagiocampidae;Plagiocampa;free-living
Alveolata;Ciliophora;Ciliophora_X;Ciliophora_XX;Urotrichidae;Urotricha;free-living
Alveolata;Ciliophora;Colpodea;Colpodea_X;Colpodida;Colpoda;free-living
Alveolata;Ciliophora;Colpodea;Colpodea_X;Colpodida;Colpodida_X;free-living
Alveolata;Ciliophora;Heterotrichea;Heterotrichea_X;Climacostomidae;Climacostomum;free-living
Alveolata;Ciliophora;Heterotrichea;Heterotrichea_X;Condylostomatidae;Linostomella;free-living
Alveolata;Ciliophora;Heterotrichea;Heterotrichea_X;Spirostomidae;Spirostomum;free-living
Alveolata;Ciliophora;Heterotrichea;Heterotrichea_X;Stentoridae;Stentor;free-living
Alveolata;Ciliophora;Karyorelictea;Karyorelictea_X;Kentrophoridae;Kentrophoros;free-living
Alveolata;Ciliophora;Litostomatea;Haptoria;Haptoria_X;Chaenea;free-living
Alveolata;Ciliophora;Litostomatea;Haptoria;Haptoria_X;Fuscheria;free-living
Alveolata;Ciliophora;Litostomatea;Haptoria;Lacrymariidae;Lacrymaria;free-living
Alveolata;Ciliophora;Litostomatea;Haptoria;Lacrymariidae;Lacrymariidae_X;free-living
Alveolata;Ciliophora;Litostomatea;Haptoria;Pleurostomatida;Acineria;free-living
Alveolata;Ciliophora;Litostomatea;Haptoria;Pleurostomatida;Amphileptus;free-living
Alveolata;Ciliophora;Litostomatea;Haptoria;Pleurostomatida;Epiphyllum;free-living
Alveolata;Ciliophora;Litostomatea;Haptoria;Pleurostomatida;Hemiophrys;free-living
Alveolata;Ciliophora;Litostomatea;Haptoria;Pleurostomatida;Kentrophyllidae;free-living
Alveolata;Ciliophora;Litostomatea;Haptoria;Pleurostomatida;Kentrophyllum;free-living
Alveolata;Ciliophora;Litostomatea;Haptoria;Pleurostomatida;Litonotus;free-living
Alveolata;Ciliophora;Litostomatea;Haptoria;Pleurostomatida;Loxophyllum;free-living
Alveolata;Ciliophora;Litostomatea;Haptoria;Pleurostomatida;Pleurostomatida_X;free-living
Alveolata;Ciliophora;Litostomatea;Litostomatea_X;Litostomatea_XX;Litostomatea_XXX;free-living
Alveolata;Ciliophora;Litostomatea;Rhynchostomatia;Tracheliidae;Trachelius;free-living
Alveolata;Ciliophora;Litostomatea;Trichostomatia;Isotrichidae;Isotrichidae_X;free-living
Alveolata;Ciliophora;Litostomatea;Trichostomatia;Ophryoscolecidae;Entodinium;free-living
Alveolata;Ciliophora;Litostomatea;Trichostomatia;Trichostomatia_X;Trichostomatia_XX;free-living
Alveolata;Ciliophora;Nassophorea;Nassophorea_X;Microthoracida;Microthoracida_X;free-living
Alveolata;Ciliophora;Nassophorea;Nassophorea_X;Microthoracida;Trochiliopsis;free-living
Alveolata;Ciliophora;Oligohymenophorea;Apostomatia;Opalinopsidae;Chromidina;free-living
Alveolata;Ciliophora;Oligohymenophorea;Astomatia;Astomatida;Astomatida_X;free-living
Alveolata;Ciliophora;Oligohymenophorea;Astomatia;Astomatida;Paraclausilocola;free-living
Alveolata;Ciliophora;Oligohymenophorea;Hymenostomatia;Glaucomidae;Anteglaucoma;free-living
Alveolata;Ciliophora;Oligohymenophorea;Hymenostomatia;Glaucomidae;Glaucoma;free-living
Alveolata;Ciliophora;Oligohymenophorea;Hymenostomatia;Glaucomidae;Glaucomidae_X;free-living
Alveolata;Ciliophora;Oligohymenophorea;Hymenostomatia;Ophryoglenida;Ichthyophthirius;free-living
Alveolata;Ciliophora;Oligohymenophorea;Hymenostomatia;Tetrahymenida;Tetrahymena;free-living
Alveolata;Ciliophora;Oligohymenophorea;Hymenostomatia;Tetrahymenida;Tetrahymenida_X;free-living
Alveolata;Ciliophora;Oligohymenophorea;Oligohymenophorea_X;Oligohymenophorea_XX;Cardiostomatella;free-living
Alveolata;Ciliophora;Oligohymenophorea;Oligohymenophorea_X;Oligohymenophorea_XX;Oligohymenophorea_XXX;free-living
Alveolata;Ciliophora;Oligohymenophorea;Oligohymenophorea_X;Oligohymenophorea_XX;Paratetrahymena;free-living
Alveolata;Ciliophora;Oligohymenophorea;Oligohymenophorea_X;Urocentridae;Urocentrum;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peniculia;Frontoniidae;Frontonia;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peniculia;Frontoniidae;Frontoniidae_X;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peniculia;Parameciidae;Paramecium;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Operculariidae;Opercularia;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Operculariidae;Operculariidae_X;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Peritrichia_X;Peritrichia_XX;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Scyphidiidae;Scyphidia;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Scyphidiidae;Scyphidiidae_X;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Sessilida;Apocarchesium;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Sessilida;Astylozoon;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Sessilida;Campanella;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Sessilida;Carchesium;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Sessilida;Epicarchesium;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Sessilida;Epistylis;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Sessilida;Myoschiston;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Sessilida;Ophrydium;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Sessilida;Opisthonecta;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Sessilida;Pseudovorticella;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Sessilida;Sessilida_X;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Sessilida;Telotrochidium;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Sessilida;Vorticella;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Sessilida;Vorticellides;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Sessilida;Zoothamnium;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Sessilida;Zoothamnopsis;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Vaginicolidae;Vaginicola;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Vaginicolidae;Vaginicolidae_X;free-living
Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Zoothamniidae;Zoothamnium;free-living
Alveolata;Ciliophora;Oligohymenophorea;Scuticociliatia;Philasterida;Philasterida_X;free-living
Alveolata;Ciliophora;Oligohymenophorea;Scuticociliatia;Pseudocohnilembidae;Pseudocohnilembus;free-living
Alveolata;Ciliophora;Oligohymenophorea;Scuticociliatia;Scuticociliatia_X;Scuticociliatia_XX;free-living
Alveolata;Ciliophora;Oligohymenophorea;Scuticociliatia;Thigmophryidae;Myxophyllum;free-living
Alveolata;Ciliophora;Phyllopharyngea;Cyrtophoria;Chilodonellidae;Chilodonella;free-living
Alveolata;Ciliophora;Phyllopharyngea;Cyrtophoria;Chilodonellidae;Chilodonellidae_X;free-living
Alveolata;Ciliophora;Phyllopharyngea;Cyrtophoria;Chilodonellidae;Pseudochilodonopsis;free-living
Alveolata;Ciliophora;Phyllopharyngea;Cyrtophoria;Chilodonellidae;Trithigmostoma;free-living
Alveolata;Ciliophora;Phyllopharyngea;Cyrtophoria;Chlamydodontidae;Chlamydodon;free-living
Alveolata;Ciliophora;Phyllopharyngea;Cyrtophoria;Dysteriidae;Dysteria;free-living
Alveolata;Ciliophora;Phyllopharyngea;Cyrtophoria;Dysteriidae;Dysteriidae_X;free-living
Alveolata;Ciliophora;Phyllopharyngea;Cyrtophoria;Dysteriidae;Microdysteria;free-living
Alveolata;Ciliophora;Phyllopharyngea;Cyrtophoria;Dysteriidae;Microxysma;free-living
Alveolata;Ciliophora;Phyllopharyngea;Cyrtophoria;Dysteriidae;Trochilia;free-living
Alveolata;Ciliophora;Phyllopharyngea;Cyrtophoria;Hartmannulidae;Aegyriana;free-living
Alveolata;Ciliophora;Phyllopharyngea;Cyrtophoria;Hartmannulidae;Hartmannulidae_X;free-living
Alveolata;Ciliophora;Phyllopharyngea;Rhynchodia;Hypocomidae;Hypocoma;free-living
Alveolata;Ciliophora;Phyllopharyngea;Suctoria;Acinetidae;Acineta;free-living
Alveolata;Ciliophora;Phyllopharyngea;Suctoria;Ephelotidae;Ephelota;free-living
Alveolata;Ciliophora;Phyllopharyngea;Suctoria;Evaginogenida;Evaginogenida_X;free-living
Alveolata;Ciliophora;Phyllopharyngea;Suctoria;Evaginogenida;Heliophrya;free-living
Alveolata;Ciliophora;Phyllopharyngea;Suctoria;Suctoria_X;Suctoria_XX;free-living
Alveolata;Ciliophora;Phyllopharyngea;Suctoria;Tokophryidae;Tokophrya;free-living
Alveolata;Ciliophora;Plagiopylea;Plagiopylea_X;Epalxellidae;Epalxella;free-living
Alveolata;Ciliophora;Plagiopylea;Plagiopylea_X;Plagiopylea_XX;Plagiopylea_XXX;free-living
Alveolata;Ciliophora;Plagiopylea;Plagiopylea_X;Plagiopylidae;Plagiopylidae_X;free-living
Alveolata;Ciliophora;Plagiopylea;Plagiopylea_X;Trimyemidae;Trimyema;free-living
Alveolata;Ciliophora;Prostomatea;Prostomatea_X;Colepidae;Colepidae_X;free-living
Alveolata;Ciliophora;Prostomatea;Prostomatea_X;Colepidae;Coleps;free-living
Alveolata;Ciliophora;Prostomatea;Prostomatea_X;Holophryidae;Holophryidae_X;free-living
Alveolata;Ciliophora;Prostomatea;Prostomatea_X;Holophryidae;Pelagothrix;free-living
Alveolata;Ciliophora;Prostomatea;Prostomatea_X;Holophryidae;Prorodon;free-living
Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae;Strobilidium;free-living
Alveolata;Ciliophora;Spirotrichea;Euplotia;Aspidiscidae;Aspidisca;free-living
Alveolata;Ciliophora;Spirotrichea;Euplotia;Euplotidae;Euplotes;free-living
Alveolata;Ciliophora;Spirotrichea;Euplotia;Euplotidae;Euplotidae_X;free-living
Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Holostichidae;Anteholosticha;free-living
Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Holostichidae;Holosticha;free-living
Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Holostichidae;Metaurostylopsis;free-living
Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Hypotrichia_X;Bergeriella;free-living
Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Hypotrichia_X;Hypotrichia_XX;free-living
Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Hypotrichia_X;Rubrioxytricha;free-living
Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Oxytrichidae;Amphisiella;free-living
Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Oxytrichidae;Bistichella;free-living
Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Oxytrichidae;Deviata;free-living
Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Oxytrichidae;Gonostomum;free-living
Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Oxytrichidae;Laurentiella;free-living
Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Oxytrichidae;Oxytricha;free-living
Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Oxytrichidae;Oxytrichidae_X;free-living
Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Oxytrichidae;Paraparentocirrus;free-living
Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Oxytrichidae;Paraurostyla;free-living
Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Oxytrichidae;Sterkiella;free-living
Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Pseudokeronopsidae;Pseudokeronopsis;free-living
Alveolata;Ciliophora;Spirotrichea;Hypotrichia;Pseudourostylidae;Pseudourostyla;free-living
Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae;Strombidiidae_X;free-living
Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae;Strombidium;free-living
Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;free-living
Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Goniodomataceae;Alexandrium;free-living
Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Blastodiniaceae;Blastodinium;parasite
Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Peridiniales_X;Glenodiniopsis;free-living
Alveolata;Dinoflagellata;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;free-living
Alveolata;Dinoflagellata;Dinophyceae;Suessiales;Suessiales_X;Suessiales_XX;free-living
Alveolata;Dinoflagellata;Dinophyceae;Torodiniales;Torodiniaceae;Torodinium;free-living
Alveolata;Dinoflagellata;Syndiniales;Syndiniales_X;Syndiniales_XX;Syndiniales_XXX;free-living
Alveolata;Perkinsea;Perkinsida;Perkinsida_X;Perkinsida_XX;Perkinsida_XXX;parasite
Alveolata;Protalveolata;Colponemea;Colponemida;Colponemidae;Colponema;free-living
Amoebozoa;Conosa;Archamoebea;Entamoebida;Entamoebidae;Entamoeba;parasite
Amoebozoa;Conosa;Archamoebea;Pelobiontida;Mastigamoebina;Endolimax;free-living
Amoebozoa;Conosa;Archamoebea;Pelobiontida;Mastigamoebina;Iodamoeba;free-living
Amoebozoa;Conosa;Archamoebea;Pelobiontida;Mastigamoebina;Mastigamoeba;free-living
Amoebozoa;Conosa;Archamoebea;Pelobiontida;Mastigamoebina;Mastigamoebidae;free-living
Amoebozoa;Conosa;Archamoebea;Pelobiontida;Mastigamoebina;Rhizomastix;free-living
Amoebozoa;Conosa;Myxogastria;Fuscisporidia;Physarales;Badhamia;free-living
Amoebozoa;Conosa;Myxogastria;Fuscisporidia;Physarales;Didymium;free-living
